Text;label
Der Service war super;2
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.;0
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Fantastischer Service! Mein Problem wurde sofort gelöst.;2
Es hat zu lange gedauert und niemand konnte mir helfen.;0
Das Support-Team schien verwirrt und hat nicht wirklich geholfen.;0
Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.;0
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Das Support-Team schien verwirrt und hat nicht wirklich geholfen.;0
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Fantastischer Service! Mein Problem wurde sofort gelöst.;2
Das Support-Team schien verwirrt und hat nicht wirklich geholfen.;0
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.;2
Fantastischer Service! Mein Problem wurde sofort gelöst.;2
Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.;0
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.;0
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Fantastischer Service! Mein Problem wurde sofort gelöst.;2
Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.;0
Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.;2
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Der Service hat zu lange gebraucht und mein Problem nicht gelöst.;0
Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.;2
Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.;0
Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.;0
Der Service war hervorragend und mein Anliegen wurde sofort geklärt.;2
Fantastischer Service! Mein Problem wurde sofort gelöst.;2
